id,สถานภาพ,วิธีรับเข้า,วุฒิ,คะแนนเฉลี่ยก่อนรับเข้า,จบการศึกษาจาก,หน่วยกิตที่ลงทะเบียน,หน่วยกิตที่ผ่าน,หน่วยกิตของหลักสูตร,คะแนนเฉลี่ยสะสม,GPA 2559/1,GPA 2559/2,GPA 2560/1,GPA 2560/2,GPA 2560/3,GPA 2561/1,GPA 2561/2,GPA 2561/3,GPA 2562/1,GPA 2562/2,GPA 2562/3,GPA 2563/1,GPA 2563/2,GPA 2563/3,GPA 2564/1,GPA 2564/2,GPA 2564/3,GPA 2565/1,GPA 2565/2,GPA 2565/3,GPA 2566/1,GPA 2566/2,GPA 2567/1,GPA 2567/2,GPA 2567/3,GPA 2568/1
1,สำเร็จการศึกษา,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),3.4,โรงเรียนสมุทรปราการ,137,137,137,3.6,3.68,3.68,3.65,3.53,0,3.47,3.57,3.57,3.61,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,สำเร็จการศึกษา,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),3.02,โรงเรียนพระโขนงพิทยาลัย,137,137,137,2.95,2.58,2.86,2.96,2.78,0,2.7,2.86,2.86,2.91,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,สำเร็จการศึกษา,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),2.94,โรงเรียนบางลี่วิทยา,140,137,137,2.5,2.26,2.35,2.47,2.5,0,2.5,2.47,2.47,2.46,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,สำเร็จการศึกษา,โควตา-เครือข่าย,มัธยมศึกษาตอนปลาย (ม.6),3.19,โรงเรียนราชประชาสมาสัย ฝ่ายมัธยม รัชดาภิเษก ในพระบรมราชูปถัมภ์,143,137,137,2.39,2.38,2.24,2.46,2.29,0,2.18,2.26,2.26,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.01,โรงเรียนฐานปัญญา,143,137,137,2.03,2.5,2.19,2.07,2.14,0,2.15,2.11,2.11,2.14,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวช.,2.42,วิทยาลัยเทคโนโลยีศรีวิกรม์บริหารธุรกิจ,137,137,137,2.23,2.58,2.73,2.76,2.9,0,2.98,2.98,0,2.9,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.75,โรงเรียนราชประชาสมาสัย ฝ่ายมัธยม รัชดาภิเษก ในพระบรมราชูปถัมภ์,137,137,137,2.28,2.22,2.32,2.35,2.28,0,2.3,2.45,2.45,2.53,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.7,โรงเรียนวชิรปราการวิทยาคม,137,137,137,3.03,0,0,2.47,2.44,0,2.57,2.6,2.6,2.56,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.44,โรงเรียนพูลเจริญวิทยาคม,137,137,137,2.25,0,0,2.61,2.38,0,0,2.42,0,2.45,2.62,0,2.7,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0
10,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.82,โรงเรียนนนทรีวิทยา,137,137,137,2.51,0,0,1.11,0,0,2.29,2.3,0,2.37,2.44,0,2.54,2.61,2.61,0,0,0,0,0,0,0,0,0,0,0,0
